Date,League,Season,HomeTeam,AwayTeam,minuto,parte,goleador,asistente,jugador_tarjeta,equipo,tipo,fixture_id
18/03/2026,Serie A Brasil,2026,PALMEIRAS,BOTAFOGO,59,2P,Danilo,,,BOTAFOGO,Normal Goal,1492177
18/03/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,CRUZEIRO,1,1P,S. Mendoza,,,ATLETICO PARANAENSE,Normal Goal,1492170
18/03/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,CRUZEIRO,10,1P,K. Viveros,,,ATLETICO PARANAENSE,Penalty,1492170
18/03/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,CRUZEIRO,58,2P,N. Villarreal,Kaiki,,CRUZEIRO,Normal Goal,1492170
18/03/2026,Serie A Brasil,2026,ATLETICO-MG,SAO PAULO,64,2P,I. Roman,A. Franco,,ATLETICO-MG,Normal Goal,1492171
18/03/2026,Serie A Brasil,2026,MIRASSOL,CORITIBA,64,2P,J. Lavega,,,CORITIBA,Normal Goal,1492176
19/03/2026,Serie A Brasil,2026,SANTOS,INTERNACIONAL,46,2P,Ze Ivaldo,,,INTERNACIONAL,Own Goal,1492178
19/03/2026,Serie A Brasil,2026,SANTOS,INTERNACIONAL,56,2P,Neymar,,,SANTOS,Penalty,1492178
19/03/2026,Serie A Brasil,2026,SANTOS,INTERNACIONAL,90,2P,J. Carbonero,,,INTERNACIONAL,Normal Goal,1492178
19/03/2026,Serie A Brasil,2026,VASCO DA GAMA,FLUMINENSE,1,1P,A. Canobbio,L. Acosta,,FLUMINENSE,Normal Goal,1492179
19/03/2026,Serie A Brasil,2026,VASCO DA GAMA,FLUMINENSE,54,2P,Hercules,L. Acosta,,FLUMINENSE,Normal Goal,1492179
19/03/2026,Serie A Brasil,2026,VASCO DA GAMA,FLUMINENSE,59,2P,N. Moreira,,,VASCO DA GAMA,Normal Goal,1492179
19/03/2026,Serie A Brasil,2026,VASCO DA GAMA,FLUMINENSE,88,2P,C. Spinelli,Cuiabano,,VASCO DA GAMA,Normal Goal,1492179
19/03/2026,Serie A Brasil,2026,VASCO DA GAMA,FLUMINENSE,90,2P,Thiago Mendes,J. Rojas,,VASCO DA GAMA,Normal Goal,1492179
19/03/2026,Serie A Brasil,2026,GREMIO,VITORIA,27,1P,Camutanga,,,GREMIO,Own Goal,1492175
19/03/2026,Serie A Brasil,2026,GREMIO,VITORIA,54,2P,F. Amuzu,Weverton,,GREMIO,Normal Goal,1492175
19/03/2026,Serie A Brasil,2026,FLAMENGO,REMO,19,1P,Leo Ortiz,G. de Arrascaeta,,FLAMENGO,Normal Goal,1492174
19/03/2026,Serie A Brasil,2026,FLAMENGO,REMO,48,2P,Samuel Lino,Luiz Araujo,,FLAMENGO,Normal Goal,1492174
19/03/2026,Serie A Brasil,2026,FLAMENGO,REMO,54,2P,Luiz Araujo,,,FLAMENGO,Normal Goal,1492174
21/03/2026,Serie A Brasil,2026,RB BRAGANTINO,BOTAFOGO,8,1P,Alex Telles,,,BOTAFOGO,Penalty,1492181
21/03/2026,Serie A Brasil,2026,RB BRAGANTINO,BOTAFOGO,15,1P,Lucas Barbosa,H. Mosquera,,RB BRAGANTINO,Normal Goal,1492181
21/03/2026,Serie A Brasil,2026,RB BRAGANTINO,BOTAFOGO,71,2P,A. Barboza,Danilo,,BOTAFOGO,Normal Goal,1492181
21/03/2026,Serie A Brasil,2026,FLUMINENSE,ATLETICO-MG,29,1P,R. Castillo,A. Canobbio,,FLUMINENSE,Normal Goal,1492184
