Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,B365H,B365D,B365A,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,HS_1P,AS_1P,HST_1P,AST_1P,HF_1P,AF_1P,HC_1P,AC_1P,HY_1P,AY_1P,HR_1P,AR_1P,HomePasses_1P,AwayPasses_1P,HomePos_1P,AwayPos_1P,HS_2P,AS_2P,HST_2P,AST_2P,HF_2P,AF_2P,HC_2P,AC_2P,HY_2P,AY_2P,HR_2P,AR_2P,HomePasses_2P,AwayPasses_2P,HomePos_2P,AwayPos_2P,fixture_id
18/03/2026,Serie A Brasil,2026,ATLETICO-MG,SAO PAULO,1,0,0,0,H,0.0,0.0,0.0,13,12,4,3,16,17,4,1,1,1,0,0,239,584,3,3,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492171
18/03/2026,Serie A Brasil,2026,MIRASSOL,CORITIBA,0,1,0,0,A,0.0,0.0,0.0,21,14,6,4,8,11,7,2,2,2,0,0,592,275,3,6,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492176
19/03/2026,Serie A Brasil,2026,SANTOS,INTERNACIONAL,1,2,0,0,A,0.0,0.0,0.0,11,17,2,6,6,12,3,8,4,3,0,0,441,282,6,1,61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492178
19/03/2026,Serie A Brasil,2026,VASCO DA GAMA,FLUMINENSE,3,2,0,1,H,0.0,0.0,0.0,16,14,6,5,9,10,5,5,2,0,0,0,400,382,3,3,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492179
19/03/2026,Serie A Brasil,2026,GREMIO,VITORIA,2,0,1,0,H,0.0,0.0,0.0,16,8,5,1,15,17,4,5,1,3,0,0,351,454,0,3,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492175
19/03/2026,Serie A Brasil,2026,FLAMENGO,REMO,3,0,1,0,H,0.0,0.0,0.0,11,7,3,1,15,11,7,2,2,2,0,0,680,365,1,0,65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492174
20/03/2026,Serie A Brasil,2026,CHAPECOENSE-SC,CORINTHIANS,0,0,0,0,D,0.0,0.0,0.0,14,13,4,4,18,11,6,4,3,4,0,0,284,529,4,5,36,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492173
21/03/2026,Serie A Brasil,2026,RB BRAGANTINO,BOTAFOGO,1,2,1,1,A,0.0,0.0,0.0,18,8,6,3,12,9,11,6,2,3,0,0,400,287,0,5,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492181
21/03/2026,Serie A Brasil,2026,FLUMINENSE,ATLETICO-MG,1,0,1,0,H,0.0,0.0,0.0,14,14,4,5,18,15,3,2,5,5,0,0,466,362,4,3,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492184
22/03/2026,Serie A Brasil,2026,SAO PAULO,PALMEIRAS,0,1,0,1,A,0.0,0.0,0.0,2,6,0,2,13,21,10,1,3,5,0,0,544,337,1,0,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492187
22/03/2026,Serie A Brasil,2026,VASCO DA GAMA,GREMIO,2,1,2,1,H,0.0,0.0,0.0,9,10,5,3,11,4,0,2,3,1,0,0,324,548,2,3,37,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492188
22/03/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,CORITIBA,2,0,1,0,H,0.0,0.0,0.0,6,4,4,1,11,10,7,4,0,2,0,1,367,325,1,2,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492180
22/03/2026,Serie A Brasil,2026,CRUZEIRO,SANTOS,0,0,0,0,D,0.0,0.0,0.0,8,5,3,1,18,16,6,0,2,4,0,0,478,320,1,3,61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492183
22/03/2026,Serie A Brasil,2026,REMO,BAHIA,4,1,1,1,H,0.0,0.0,0.0,16,10,10,3,15,10,5,9,2,1,0,0,271,457,2,6,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492186
22/03/2026,Serie A Brasil,2026,INTERNACIONAL,CHAPECOENSE-SC,2,0,1,0,H,0.0,0.0,0.0,14,10,7,0,16,9,4,4,2,3,0,1,402,432,0,5,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492185
22/03/2026,Serie A Brasil,2026,VITORIA,MIRASSOL,1,0,1,0,H,0.0,0.0,0.0,13,16,6,3,18,8,4,5,3,3,0,0,295,437,3,5,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492189
